日付,システム,終値,シグナル,アクション,ポジション,ストップ,数量,実現損益累計,評価損益計,モデル資産
2026-07-29,長期トレンド,163.857,買,イベント見送り,なし,,0,0,0,1000000
2026-07-29,短期スイング,163.857,買,イベント見送り,なし,,0,0,0,1000000
2026-07-30,長期トレンド,163.319,買,新規買(ロング),買,161.061,4000,0,0,1000000
2026-07-30,短期スイング,163.319,買,新規買(ロング),買,162.351,5000,0,0,1000000
2026-07-31,長期トレンド,159.600,買,イベント見送り,なし,,0,-33552,0,966448
2026-07-31,短期スイング,159.600,買,イベント見送り,なし,,0,-33552,0,966448
2026-08-03,長期トレンド,157.272,売,新規売(ショート),売,162.249,2000,-33552,0,966448
2026-08-03,短期スイング,157.272,売,新規売(ショート),売,159.405,2000,-33552,0,966448
2026-08-04,長期トレンド,157.563,売,継続,売,162.249,2000,-33552,-1164,965284
2026-08-04,短期スイング,157.563,売,継続,売,159.405,2000,-33552,-1164,965284
2026-08-05,長期トレンド,157.743,売,ストップ変更,売,162.164,2000,-33552,-1884,964564
2026-08-05,短期スイング,157.743,売,ストップ変更,売,159.369,2000,-33552,-1884,964564
2026-08-06,長期トレンド,157.649,売,ストップ変更,売,161.908,2000,-33552,-1508,964940
2026-08-06,短期スイング,157.649,売,ストップ変更,売,159.259,2000,-33552,-1508,964940
2026-08-07,長期トレンド,158.444,売,継続,売,161.908,2000,-33552,-4688,961760
2026-08-07,短期スイング,158.444,売,継続,売,159.259,2000,-33552,-4688,961760
2026-08-10,長期トレンド,157.906,売,継続,売,161.908,2000,-33552,-2536,963912
2026-08-10,短期スイング,157.906,売,継続,売,159.259,2000,-33552,-2536,963912
2026-08-11,長期トレンド,159.249,売,継続,売,161.908,2000,-37542,-3954,958504
2026-08-11,短期スイング,159.249,売,新規売(ショート),売,161.338,2000,-37542,-3954,958504
2026-08-12,長期トレンド,159.239,売,ストップ変更,売,161.852,2000,-37542,-3914,958544
2026-08-12,短期スイング,159.239,売,ストップ変更,売,161.202,2000,-37542,-3914,958544
2026-08-13,長期トレンド,159.375,売,ストップ変更,売,161.708,2000,-37542,-4953,957505
2026-08-13,短期スイング,159.375,売,ストップ変更,売,161.14,2000,-37542,-4953,957505
2026-08-14,長期トレンド,159.442,売,ストップ変更,売,161.502,2000,-37646,-5249,957105
2026-08-14,短期スイング,159.442,売,ストップ変更,売,161.052,2000,-37646,-5249,957105
2026-08-17,長期トレンド,159.220,売,ストップ変更,売,161.427,2000,-37646,-4359,957995
2026-08-17,短期スイング,159.220,売,ストップ変更,売,161.001,2000,-37646,-4359,957995
2026-08-18,長期トレンド,159.360,売,ストップ変更,売,161.257,2000,-37646,-4981,957373
2026-08-18,短期スイング,159.360,売,ストップ変更,売,160.928,2000,-37646,-4981,957373
2026-08-19,長期トレンド,159.577,売,ストップ変更,売,161.118,2000,-37646,-5911,956443
2026-08-19,短期スイング,159.577,売,ストップ変更,売,160.868,2000,-37646,-5911,956443
2026-08-20,長期トレンド,158.225,売,継続,売,161.118,2000,-37646,-683,961671
2026-08-20,短期スイング,158.225,売,ストップ変更,売,160.037,2000,-37646,-683,961671
2026-08-21,長期トレンド,158.943,売,継続,売,161.118,2000,-37646,-3619,958735
2026-08-21,短期スイング,158.943,売,ストップ変更,売,159.977,2000,-37646,-3619,958735
