記録時刻,基準日,基準終値,上昇確率,予測方向,想定変動率,対象日,実測終値,実測方向,的中
2026-08-11T16:14,2026-08-10,159.284,0.4497,0,0.00207,2026-08-11,159.25999450683594,0.0,1.0
2026-08-12T16:04,2026-08-11,159.26,0.4428,0,0.00197,2026-08-12,159.4010009765625,1.0,0.0
2026-08-13T08:05,2026-08-12,159.401,0.4859,0,0.00202,2026-08-13,159.468994140625,1.0,0.0
2026-08-14T06:22,2026-08-13,159.469,0.5554,1,0.00193,2026-08-14,159.28500366210938,0.0,0.0
2026-08-16T20:11,2026-08-14,159.285,0.4886,0,0.00229,2026-08-17,159.4149932861328,1.0,0.0
2026-08-18T08:05,2026-08-17,159.415,0.5488,1,0.00182,2026-08-18,159.5959930419922,1.0,1.0
2026-09-14T21:07,2026-09-11,153.554,0.561,1,0.00295,2026-09-14,154.322998046875,1.0,1.0
2026-09-15T06:01,2026-09-14,154.323,0.6096,1,0.00265,2026-09-15,155.1009979248047,1.0,1.0
2026-09-16T06:02,2026-09-15,155.101,0.6067,1,0.00278,2026-09-16,156.2429962158203,1.0,1.0
2026-09-17T06:02,2026-09-16,156.243,0.5729,1,0.00246,2026-09-17,155.9340057373047,0.0,0.0
2026-09-18T06:01,2026-09-17,155.934,0.6206,1,0.00232,2026-09-18,156.84300231933594,1.0,1.0
2026-09-21T06:03,2026-09-18,156.843,0.5822,1,0.00214,2026-09-21,157.302001953125,1.0,1.0
2026-09-22T06:10,2026-09-21,157.302,0.5276,1,0.0018,2026-09-22,157.552001953125,1.0,1.0
2026-09-23T01:32,2026-09-22,157.552,0.5401,1,0.00214,,,,
