日時,確定バー,終値,シグナル,アクション,ポジション,ストップ,数量
2026-08-13T21:37,2026-08-13 09:00,159.334,買,新規買(ロング),買,158.901,6000
2026-08-13T21:46,2026-08-13 21:00,159.330,買,利確設定,買,158.901,6000
2026-08-13T22:05,2026-08-13 22:00,159.169,無,決済,なし,,0
2026-08-14T22:34,2026-08-14 22:00,158.918,売,新規売(ショート),売,159.394,6000
2026-08-15T03:04,2026-08-15 03:00,159.358,売,新規売(ショート),売,159.863,5000
2026-08-17T09:00,2026-08-17 09:00,159.219,売,ストップ変更,売,159.647,5000
2026-08-17T10:48,2026-08-17 10:00,159.018,売,ストップ変更,売,159.469,5000
2026-08-18T03:14,2026-08-18 03:00,159.491,買,新規買(ロング),買,159.077,7000
2026-08-18T14:36,2026-08-18 14:00,159.697,買,ストップ変更,買,159.267,7000
2026-08-19T12:07,2026-08-19 12:00,159.364,売,新規売(ショート),売,159.728,8000
2026-08-19T17:48,2026-08-19 17:00,159.163,売,ストップ変更,売,159.561,8000
2026-08-19T22:01,2026-08-19 22:00,158.600,売,新規売(ショート),売,159.187,5000
2026-08-20T05:02,2026-08-20 05:00,158.139,売,ストップ変更,売,158.835,5000
2026-08-20T23:01,2026-08-20 23:00,158.825,買,新規買(ロング),買,158.135,4000
2026-08-21T04:03,2026-08-21 04:00,159.141,買,ストップ変更,買,158.444,4000
2026-08-21T15:59,2026-08-21 15:00,158.830,無,決済,なし,,0
2026-08-24T17:29,2026-08-24 17:00,159.158,買,新規買(ロング),買,158.658,6000
2026-08-25T11:04,2026-08-25 11:00,159.268,買,ストップ変更,買,158.826,6000
