日時,確定バー,終値,シグナル,アクション,ポジション,ストップ,数量
2026-08-10T09:18,2026-08-10 09:00,157.900,売,新規売(ショート),売,158.877,4000
2026-08-10T09:55,2026-08-10 09:00,157.900,売,利確設定,売,158.877,4000
2026-08-10T15:12,2026-08-10 15:00,158.339,無,決済,なし,,0
2026-08-10T17:03,2026-08-10 17:00,158.480,買,新規買(ロング),買,157.561,4000
2026-08-10T19:04,2026-08-10 19:00,158.843,買,ストップ変更,買,157.897,4000
2026-08-11T01:03,2026-08-11 01:00,158.896,買,ストップ変更,買,158.058,4000
2026-08-11T05:03,2026-08-11 05:00,159.300,買,ストップ変更,買,158.36,4000
2026-08-11T17:03,2026-08-11 17:00,159.356,買,ストップ変更,買,158.552,4000
2026-08-12T07:03,2026-08-12 07:00,159.260,買,ストップ変更,買,158.684,4000
2026-08-12T13:15,2026-08-12 13:00,159.426,買,ストップ変更,買,158.813,4000
2026-08-12T19:07,2026-08-12 19:00,159.150,無,ストップ決済確認,なし,,0
2026-08-13T03:03,2026-08-13 03:00,159.495,買,新規買(ロング),買,158.704,5000
2026-08-13T21:04,2026-08-13 21:00,159.330,買,ストップ変更,買,158.853,5000
2026-08-14T15:03,2026-08-14 15:00,159.259,無,決済,なし,,0
2026-08-14T23:03,2026-08-14 23:00,158.941,売,新規売(ショート),売,159.596,6000
2026-08-15T00:30,2026-08-14 23:00,158.941,無,決済,なし,,0
2026-08-18T03:14,2026-08-18 03:00,159.491,買,新規買(ロング),買,158.866,6000
2026-08-18T15:16,2026-08-18 15:00,159.663,買,ストップ変更,買,159.059,6000
2026-08-19T03:50,2026-08-19 03:00,159.598,買,ストップ変更,買,159.162,6000
2026-08-19T17:48,2026-08-19 17:00,159.163,売,新規売(ショート),売,159.701,7000
2026-08-19T23:42,2026-08-19 23:00,158.432,売,ストップ変更,売,159.156,7000
2026-08-20T01:13,2026-08-20 01:00,158.453,売,新規売(ショート),売,159.229,5000
2026-08-20T05:02,2026-08-20 05:00,158.139,売,ストップ変更,売,158.977,5000
2026-08-20T15:17,2026-08-20 15:00,158.629,無,決済,なし,,0
2026-08-21T05:04,2026-08-21 05:00,159.112,買,新規買(ロング),買,158.211,4000
2026-08-21T15:59,2026-08-21 15:00,158.830,無,決済,なし,,0
2026-08-24T17:29,2026-08-24 17:00,159.158,買,新規買(ロング),買,158.44,5000
2026-08-25T09:25,2026-08-25 09:00,159.128,買,ストップ変更,買,158.561,5000
2026-08-25T13:03,2026-08-25 13:00,159.324,買,ストップ変更,買,158.697,5000
2026-08-25T17:52,2026-08-25 17:00,159.439,買,ストップ変更,買,158.826,5000
2026-08-26T12:13,2026-08-26 11:00,159.044,無,決済,なし,,0
2026-08-27T23:33,2026-08-27 23:00,159.361,買,新規買(ロング),買,158.868,8000
2026-08-28T20:11,2026-08-28 19:00,159.683,買,ストップ変更,買,159.245,8000
2026-08-29T06:26,2026-08-29 05:00,160.078,買,ストップ変更,買,159.532,8000
