ペア,総合score,長期_score,長期_PF,長期_勝率,長期_N,短期_score,短期_PF,短期_勝率,短期_N,本数,コスト,金利差pt,政策方向差,ファンダ方向,テク方向,ファンダ整合,ドル指数相関60,VIX相関60,ファンダ注記
米ドル/円,1.75,2.02,2.08,45.5,88,1.48,1.54,46.0,278,3907,スプ0.2銭+滑り(公式確認済),2.62,0.5,買い,売り,中立,0.72,0.44,円介入警戒で買い方向の追い風は割引
フラン/円,1.14,1.16,1.22,37.4,91,1.12,1.15,37.4,270,3909,スプ1.8銭想定+滑り,-1.25,-0.5,売り,売り,追い風,0.08,0.25,
ユーロ/円,1.03,1.09,1.39,44.0,91,0.97,1.15,38.9,296,3909,スプ0.4銭+滑り(公式確認済),1.25,0.0,買い,売り,中立,0.33,0.37,円介入警戒で買い方向の追い風は割引
豪ドル/円,0.99,0.93,1.04,33.0,109,1.05,1.15,37.0,303,3910,スプ0.6銭想定+滑り,3.1,0.5,買い,売り,中立,0.28,0.09,円介入警戒で買い方向の追い風は割引
加ドル/円,0.95,1.01,1.05,42.3,111,0.89,1.08,33.4,308,3909,スプ1.6銭想定+滑り,1.0,-0.5,中立,売り,中立,0.42,0.43,
NZドル/円,0.9,0.81,0.87,37.5,112,0.99,1.07,36.6,295,3908,スプ1.0銭想定+滑り,1.5,0.0,買い,売り,中立,0.13,0.15,円介入警戒で買い方向の追い風は割引
ポンド/円,0.72,0.66,0.87,32.7,104,0.78,0.96,36.2,304,3908,スプ0.9銭+滑り(公式確認済),2.5,0.0,買い,売り,中立,0.29,0.3,円介入警戒で買い方向の追い風は割引
ユーロ/ドル,0.69,0.55,0.95,32.7,110,0.83,1.01,33.5,284,3906,スプ0.4p想定+滑り,-1.38,-0.5,売り,売り,追い風,-0.93,-0.27,
ポンド/ドル,0.68,0.54,0.69,33.9,115,0.82,0.96,35.6,303,3907,スプ1.0p想定+滑り,-0.12,-0.5,売り,売り,追い風,-0.82,-0.31,
豪ドル/ドル,0.64,0.58,0.71,29.7,111,0.69,0.85,36.7,300,3906,スプ0.6p想定+滑り,0.47,0.0,中立,中立,中立,-0.72,-0.55,金利差ほぼ無し=ファンダ材料薄
ユーロ/ポンド,0.64,0.57,0.78,32.3,96,0.72,0.87,35.6,295,3909,スプ1.0p想定+滑り,-1.25,0.0,売り,買い,逆風,0.09,0.17,
