日付,戦略,ATR係数,利確ATR係数,PF全,PF前,PF後,勝率,最大DD,取引数,頻度_回転毎営業日,スコア,判定
2026-08-13,1時間足ドンチャン24/12・フィルタ無,3.0,0.0,1.14,1.12,1.15,34.2%,-4.9%,699,0.74,1.12,初期採用
2026-08-14,1時間足ドンチャン24/12・フィルタ無,3.0,6.0,1.1,1.1,1.1,35.1%,-4.8%,813,0.85,1.1,現状維持
2026-08-15,1時間足ドンチャン24/12・フィルタ無,3.0,6.0,1.1,1.1,1.09,35.0%,-4.8%,814,0.86,1.09,ゲート全滅・現状維持
2026-08-16,1時間足ドンチャン24/12・フィルタ無・確認RSI14順行±5,3.0,6.0,1.1,1.1,1.1,35.1%,-4.6%,814,0.86,1.1,ゲート全滅・現状維持
2026-08-18,1時間足ドンチャン24/12・フィルタ無・確認RSI14順行±5,3.0,6.0,1.1,1.1,1.09,35.0%,-4.6%,816,0.86,1.09,ゲート全滅・現状維持
2026-08-19,1時間足ドンチャン24/12・フィルタ無・確認RSI14順行±5,3.0,6.0,1.09,1.1,1.09,35.0%,-4.6%,817,0.86,1.09,ゲート全滅・現状維持
2026-08-20,1時間足ドンチャン24/12・フィルタ無・確認RSI14順行±5,3.0,6.0,1.1,1.1,1.09,35.0%,-4.6%,818,0.86,1.09,ゲート全滅・現状維持
2026-08-21,1時間足ドンチャン24/12・フィルタ無・確認RSI14順行±5,3.0,6.0,1.1,1.1,1.09,35.0%,-4.6%,820,0.86,1.09,ゲート全滅・現状維持
2026-08-24,1時間足ドンチャン24/12・フィルタ無・確認RSI14順行±5,3.0,6.0,1.1,1.1,1.08,35.0%,-4.6%,820,0.86,1.08,ゲート全滅・現状維持
2026-08-25,1時間足ドンチャン24/12・フィルタ無・確認RSI14順行±5,3.0,6.0,1.1,1.11,1.08,35.1%,-4.6%,821,0.86,1.08,ゲート全滅・現状維持
