日付,システム,フィルタ,PF全,PF前半,PF後半,勝率,最大DD,取引数,スコア,ベーススコア,改善率,合格,偶然確率p
2026-09-23,長期トレンド,米10年金利変化60日,2.57,2.35,2.79,47.9%,-2.8%,71,2.35,2.02,1.16,True,0.51
2026-09-23,長期トレンド,ドル指数モメンタム20日,2.16,2.13,2.17,43.9%,-4.4%,82,2.13,2.02,1.05,False,0.51
2026-09-23,長期トレンド,ドル指数モメンタム10日,2.19,2.03,2.36,45.1%,-3.1%,82,2.03,2.02,1.00,False,0.51
2026-09-23,長期トレンド,VIX平常（リスクオフ時は買い見送り）,2.08,2.02,2.11,45.3%,-3.9%,86,2.02,2.02,1.00,False,0.51
2026-09-23,長期トレンド,原油モメンタム20日,2.08,2.16,1.97,46.8%,-4.2%,77,1.97,2.02,0.98,False,0.51
2026-09-23,長期トレンド,米10年金利変化10日,2.49,1.92,3.41,50.0%,-5.0%,76,1.92,2.02,0.95,False,0.51
2026-09-23,長期トレンド,S&P500モメンタム60日,2.02,2.07,1.88,45.5%,-5.2%,66,1.88,2.02,0.93,False,0.51
2026-09-23,長期トレンド,日経225モメンタム20日,1.91,1.86,1.95,43.6%,-6.5%,78,1.86,2.02,0.92,False,0.51
2026-09-23,長期トレンド,米10年金利変化20日,2.34,1.85,3.10,48.6%,-5.1%,74,1.85,2.02,0.92,False,0.51
2026-09-23,長期トレンド,ドル指数モメンタム60日,1.96,2.27,1.67,43.4%,-5.5%,76,1.67,2.02,0.83,False,0.51
2026-09-23,長期トレンド,S&P500モメンタム20日,1.94,2.45,1.41,40.8%,-4.8%,71,1.41,2.02,0.70,False,0.51
2026-09-23,短期スイング,米10年金利変化60日,1.66,1.63,1.69,45.8%,-3.5%,225,1.63,1.48,1.10,False,0.59
2026-09-23,短期スイング,VIX平常（リスクオフ時は買い見送り）,1.59,1.60,1.57,46.6%,-3.5%,268,1.57,1.48,1.06,False,0.59
2026-09-23,短期スイング,米10年金利変化10日,1.61,1.53,1.68,45.1%,-3.9%,246,1.53,1.48,1.04,False,0.59
2026-09-23,短期スイング,ドル指数モメンタム20日,1.58,1.63,1.52,46.4%,-4.1%,261,1.52,1.48,1.03,False,0.59
2026-09-23,短期スイング,ドル指数モメンタム10日,1.58,1.65,1.52,46.9%,-3.7%,262,1.52,1.48,1.02,False,0.59
2026-09-23,短期スイング,米10年金利変化20日,1.62,1.50,1.74,45.4%,-3.8%,240,1.50,1.48,1.01,False,0.59
2026-09-23,短期スイング,原油モメンタム20日,1.55,1.59,1.50,45.7%,-3.8%,243,1.50,1.48,1.01,False,0.59
2026-09-23,短期スイング,S&P500モメンタム60日,1.55,1.59,1.49,45.4%,-3.8%,207,1.49,1.48,1.01,False,0.59
2026-09-23,短期スイング,日経225モメンタム20日,1.47,1.51,1.42,45.6%,-4.4%,248,1.42,1.48,0.96,False,0.59
2026-09-23,短期スイング,ドル指数モメンタム60日,1.56,1.71,1.41,46.1%,-4.9%,230,1.41,1.48,0.95,False,0.59
2026-09-23,短期スイング,S&P500モメンタム20日,1.48,1.62,1.29,46.6%,-3.8%,219,1.29,1.48,0.87,False,0.59
2026-09-24,長期トレンド,米10年金利変化60日,2.57,2.35,2.79,47.9%,-2.8%,71,2.35,2.02,1.16,True,0.48
2026-09-24,長期トレンド,ドル指数モメンタム20日,2.14,2.13,2.14,43.9%,-4.4%,82,2.13,2.02,1.05,False,0.48
2026-09-24,長期トレンド,ドル指数モメンタム10日,2.18,2.03,2.32,45.1%,-3.1%,82,2.03,2.02,1.00,False,0.48
2026-09-24,長期トレンド,VIX平常（リスクオフ時は買い見送り）,2.06,2.02,2.08,45.3%,-3.9%,86,2.02,2.02,1.00,False,0.48
2026-09-24,長期トレンド,原油モメンタム20日,2.08,2.16,1.97,46.8%,-4.2%,77,1.97,2.02,0.98,False,0.48
2026-09-24,長期トレンド,米10年金利変化10日,2.49,1.92,3.41,50.0%,-5.0%,76,1.92,2.02,0.95,False,0.48
2026-09-24,長期トレンド,S&P500モメンタム60日,2.02,2.07,1.88,45.5%,-5.2%,66,1.88,2.02,0.93,False,0.48
2026-09-24,長期トレンド,日経225モメンタム20日,1.90,1.86,1.92,43.6%,-6.5%,78,1.86,2.02,0.92,False,0.48
2026-09-24,長期トレンド,米10年金利変化20日,2.34,1.85,3.10,48.6%,-5.1%,74,1.85,2.02,0.92,False,0.48
2026-09-24,長期トレンド,ドル指数モメンタム60日,1.95,2.27,1.65,43.4%,-5.5%,76,1.65,2.02,0.81,False,0.48
2026-09-24,長期トレンド,S&P500モメンタム20日,1.92,2.45,1.39,40.8%,-4.8%,71,1.39,2.02,0.69,False,0.48
2026-09-24,短期スイング,米10年金利変化60日,1.66,1.63,1.69,45.8%,-3.5%,225,1.63,1.47,1.11,False,0.56
