日付,時間足,エントリー,イグジット,ATR係数,4Hフィルタ,PF全,PF前,PF後,勝率,最大DD,取引数,頻度_回転毎営業日,スコア,判定
2026-08-10,2H,12,6,3.0,無,1.38,1.42,1.34,42.0%,-3.2%,395,0.45,1.34,採用
2026-08-10,2H,12,6,3.0,無,1.32,1.37,1.26,40.3%,-3.6%,459,0.53,1.26,現行が最良
2026-08-10,2H,12,6,3.0,無,1.32,1.37,1.26,40.3%,-3.6%,459,0.53,1.26,現行が最良
2026-08-11,2H,12,6,3.0,有,1.33,1.39,1.29,41.1%,-2.9%,367,0.42,1.29,現状維持
2026-08-12,2H,12,6,3.0,有,1.33,1.39,1.30,41.1%,-2.9%,367,0.42,1.30,現状維持
2026-08-13,2H,12,6,3.0,有,1.32,1.38,1.27,41.0%,-2.9%,368,0.42,1.27,現状維持
2026-08-14,2H,12,6,3.0,有,1.32,1.37,1.27,41.0%,-2.9%,368,0.42,1.27,現状維持
2026-08-15,2H,12,6,3.0,有,1.38,1.38,1.37,41.9%,-3.0%,353,0.40,1.37,採用(確認=MACD順行)
2026-08-16,2H,12,6,3.0,有,1.38,1.38,1.37,41.9%,-3.0%,353,0.40,1.37,現行が最良(確認=MACD順行)
2026-08-18,2H,12,6,3.0,有,1.38,1.39,1.37,42.1%,-3.0%,354,0.40,1.37,現行が最良(確認=MACD順行)
2026-08-19,2H,12,6,3.0,有,1.38,1.38,1.34,41.8%,-3.0%,354,0.40,1.34,現行が最良(確認=MACD順行)
2026-08-20,2H,12,6,3.0,有,1.39,1.39,1.38,41.9%,-3.0%,356,0.40,1.38,現行が最良(確認=MACD順行)
2026-08-21,2H,12,6,3.0,有,1.39,1.41,1.37,41.7%,-3.0%,357,0.40,1.37,現行が最良(確認=MACD順行)
2026-08-24,2H,12,6,3.0,有,1.39,1.40,1.37,41.7%,-3.0%,357,0.40,1.37,現行が最良(確認=MACD順行)
2026-08-25,2H,12,6,3.0,有,1.39,1.40,1.37,41.9%,-3.0%,358,0.40,1.37,現行が最良(確認=MACD順行)
2026-08-26,2H,12,6,3.0,有,1.38,1.40,1.36,41.6%,-3.0%,358,0.40,1.36,現行が最良(確認=MACD順行)
2026-08-28,2H,12,6,3.0,有,1.38,1.39,1.36,41.5%,-3.0%,359,0.40,1.36,現行が最良(確認=MACD順行)
2026-08-29,2H,12,6,3.0,有,1.40,1.41,1.40,41.8%,-3.0%,359,0.40,1.40,現行が最良(確認=MACD順行)
