日付,システム,エントリー,イグジット,ATR係数,PF全,PF前半,PF後半,シャープ,勝率,最大DD,取引数,スコア,判定
2026-07-28,長期トレンド,40,10,3.5,2.89,3.0,2.72,0.75,45.3%,-3.2%,64,2.72,採用
2026-07-28,長期トレンド,40,10,3.5,2.89,3.00,2.72,0.75,45.3%,-3.2%,64,2.72,現行が最良
2026-07-28,短期スイング,20,8,1.5,1.67,1.64,1.70,0.71,46.4%,-3.5%,276,1.64,採用
2026-07-29,長期トレンド,40,10,3.5,2.89,3.00,2.73,0.75,45.3%,-3.2%,64,2.73,現行が最良
2026-07-29,短期スイング,20,8,1.5,1.67,1.64,1.70,0.71,46.4%,-3.5%,276,1.64,現行が最良
2026-07-30,長期トレンド,40,10,3.5,2.88,3.00,2.70,0.75,45.3%,-3.2%,64,2.70,現行が最良
2026-07-30,短期スイング,20,8,1.5,1.67,1.64,1.69,0.71,46.4%,-3.5%,276,1.64,現行が最良
2026-07-31,長期トレンド,40,10,3.5,2.85,3.00,2.63,0.73,44.6%,-3.2%,65,2.63,現行が最良
2026-07-31,短期スイング,20,8,1.5,1.66,1.64,1.68,0.70,46.2%,-3.5%,277,1.64,現行が最良
2026-08-03,長期トレンド,40,10,3.5,2.67,3.00,2.30,0.71,44.6%,-3.2%,65,2.30,現行が最良
2026-08-03,短期スイング,20,8,1.5,1.64,1.64,1.64,0.69,46.2%,-3.5%,277,1.64,現行が最良
2026-08-04,長期トレンド,40,10,3.5,2.62,3.00,2.21,0.70,43.9%,-3.2%,66,2.21,現行が最良
2026-08-04,短期スイング,20,8,1.5,1.65,1.67,1.63,0.70,46.2%,-3.5%,277,1.63,現行が最良
2026-08-05,長期トレンド,40,10,3.5,2.63,3.00,2.22,0.70,43.9%,-3.2%,66,2.22,現行が最良
2026-08-05,短期スイング,20,8,1.5,1.64,1.64,1.63,0.69,46.0%,-3.5%,278,1.63,現行が最良
2026-08-05,長期トレンド,40,10,3.5,2.63,3.00,2.22,0.70,43.9%,-3.2%,66,2.22,現行が最良
2026-08-05,短期スイング,20,8,1.5,1.64,1.64,1.63,0.69,46.0%,-3.5%,278,1.63,現行が最良
2026-08-06,長期トレンド,40,10,3.5,2.63,3.00,2.23,0.70,43.9%,-3.2%,66,2.23,現行が最良
2026-08-06,短期スイング,20,8,1.5,1.64,1.64,1.63,0.69,46.0%,-3.5%,278,1.63,現行が最良
2026-08-07,長期トレンド,40,10,3.5,2.60,3.00,2.18,0.70,43.9%,-3.2%,66,2.18,現行が最良
2026-08-07,短期スイング,20,8,1.5,1.63,1.64,1.62,0.69,46.0%,-3.5%,278,1.62,現行が最良
2026-08-10,長期トレンド,40,10,3.5,2.62,3.00,2.21,0.70,43.9%,-3.2%,66,2.21,現行が最良
2026-08-10,短期スイング,20,8,1.5,1.64,1.63,1.63,0.69,46.0%,-3.5%,278,1.63,現行が最良
2026-08-11,長期トレンド,40,10,3.5,2.57,3.00,2.13,0.69,43.9%,-3.2%,66,2.13,現行が最良
2026-08-11,短期スイング,20,8,1.5,1.61,1.60,1.61,0.66,46.5%,-3.5%,271,1.60,現行が最良
2026-08-12,長期トレンド,40,10,3.5,2.57,3.00,2.13,0.69,43.9%,-3.2%,66,2.13,現行が最良
2026-08-12,短期スイング,20,8,1.5,1.61,1.60,1.61,0.66,46.5%,-3.5%,271,1.60,現行が最良
2026-08-13,長期トレンド,40,10,3.5,2.57,3.00,2.13,0.69,43.9%,-3.2%,66,2.13,現行が最良
2026-08-13,短期スイング,20,8,1.5,1.61,1.60,1.60,0.66,46.5%,-3.5%,271,1.60,現行が最良
2026-08-14,長期トレンド,40,10,3.5,2.57,3.00,2.12,0.69,43.9%,-3.2%,66,2.12,現行が最良
2026-08-14,短期スイング,20,8,1.5,1.61,1.60,1.60,0.66,46.5%,-3.5%,271,1.60,現行が最良
2026-08-14,長期トレンド,40,10,3.5,2.57,3.00,2.12,0.69,43.9%,-3.2%,66,2.12,現行が最良
2026-08-14,短期スイング,20,8,1.5,1.61,1.60,1.60,0.66,46.5%,-3.5%,271,1.60,現行が最良
2026-08-18,長期トレンド,40,10,3.5,2.57,3.00,2.13,0.69,43.9%,-3.2%,66,2.13,現行が最良
2026-08-18,短期スイング,20,8,1.5,1.61,1.60,1.60,0.66,46.3%,-3.5%,272,1.60,現行が最良
2026-08-19,長期トレンド,40,10,3.5,2.56,3.00,2.11,0.69,43.9%,-3.2%,66,2.11,現行が最良
2026-08-19,短期スイング,20,8,1.5,1.60,1.60,1.59,0.66,46.3%,-3.5%,272,1.59,現行が最良
2026-08-20,長期トレンド,40,10,3.5,2.61,3.00,2.19,0.70,43.9%,-3.2%,66,2.19,現行が最良
2026-08-20,短期スイング,20,8,1.5,1.61,1.60,1.62,0.67,46.7%,-3.5%,272,1.60,現行が最良
2026-08-21,長期トレンド,40,10,3.5,2.58,3.00,2.15,0.69,43.9%,-3.2%,66,2.15,現行が最良
2026-08-21,短期スイング,20,8,1.5,1.61,1.60,1.61,0.66,46.7%,-3.5%,272,1.60,現行が最良
2026-08-24,長期トレンド,40,10,3.5,2.58,3.00,2.15,0.69,43.9%,-3.2%,66,2.15,現行が最良
2026-08-24,短期スイング,20,8,1.5,1.61,1.60,1.61,0.66,46.7%,-3.5%,272,1.60,現行が最良
2026-08-25,長期トレンド,40,10,3.5,2.58,3.00,2.14,0.69,43.9%,-3.2%,66,2.14,現行が最良
2026-08-25,短期スイング,20,8,1.5,1.61,1.60,1.60,0.66,46.7%,-3.5%,272,1.60,現行が最良
2026-08-26,長期トレンド,40,10,3.5,2.57,3.00,2.14,0.69,43.9%,-3.2%,66,2.14,現行が最良
2026-08-26,短期スイング,20,8,1.5,1.61,1.60,1.60,0.66,46.7%,-3.5%,272,1.60,現行が最良
2026-08-28,長期トレンド,40,10,3.5,2.57,3.00,2.13,0.69,43.9%,-3.2%,66,2.13,現行が最良
2026-08-28,短期スイング,20,8,1.5,1.61,1.60,1.60,0.66,46.3%,-3.5%,272,1.60,現行が最良
2026-08-29,長期トレンド,40,10,3.5,2.57,3.00,2.13,0.69,43.9%,-3.2%,66,2.13,現行が最良
2026-08-29,短期スイング,20,8,1.5,1.61,1.60,1.60,0.66,46.3%,-3.5%,272,1.60,現行が最良
2026-08-31,長期トレンド,40,10,3.5,2.54,3.00,2.08,0.69,43.9%,-3.2%,66,2.08,現行が最良
2026-08-31,短期スイング,20,8,1.5,1.60,1.60,1.59,0.66,46.2%,-3.5%,273,1.59,現行が最良
2026-09-01,長期トレンド,40,10,3.5,2.54,3.00,2.09,0.69,43.9%,-3.2%,66,2.09,現行が最良
2026-09-01,短期スイング,20,8,1.5,1.60,1.60,1.58,0.65,46.0%,-3.5%,274,1.58,現行が最良
2026-09-02,長期トレンド,40,10,3.5,2.55,3.00,2.10,0.69,43.9%,-3.2%,66,2.10,現行が最良
2026-09-02,短期スイング,20,8,1.5,1.61,1.60,1.60,0.66,46.7%,-3.5%,274,1.60,現行が最良
