実行日時,対象日,ステージ,結果,所要秒,備考
2026-08-05T07:57:13,2026-08-05,速報①,成功,2,追いつき生成
2026-08-05T08:06:51,2026-08-05,最終確定,成功,3,
2026-08-06T06:03:02,2026-08-06,速報①,成功,2,
2026-08-06T07:37:33,2026-08-06,速報②,成功,2,
2026-08-06T07:38:28,2026-08-06,速報②,成功,97,リトライ1回で成功
2026-08-06T08:03:09,2026-08-06,最終確定,成功,4,
2026-08-07T06:03:08,2026-08-07,速報①,成功,4,
2026-08-07T07:03:07,2026-08-07,速報②,成功,2,
2026-08-07T08:03:09,2026-08-07,最終確定,成功,3,
2026-08-10T06:03:05,2026-08-10,速報①,成功,2,
2026-08-10T07:32:10,2026-08-10,速報②,成功,118,リトライ1回で成功
2026-08-10T08:12:29,2026-08-10,最終確定,成功,4,
2026-08-11T06:03:04,2026-08-11,速報①,成功,3,
2026-08-11T07:03:08,2026-08-11,速報②,成功,4,
2026-08-11T08:03:11,2026-08-11,最終確定,成功,5,
2026-08-12T06:03:08,2026-08-12,速報①,成功,3,
2026-08-12T07:03:04,2026-08-12,速報②,成功,3,
2026-08-12T09:34:41,2026-08-12,最終確定,成功,3881,リトライ1回で成功
2026-08-12T09:43:53,2026-08-12,メール,失敗,0,キーチェーン未登録のためメール送信をスキップ（登録: security add-generic-password -s fx-gmail-app-password -a <本人アドレス> -w -U）
2026-08-13T06:03:05,2026-08-13,速報①,成功,4,
2026-08-13T07:03:04,2026-08-13,速報②,成功,3,
2026-08-13T08:03:09,2026-08-13,最終確定,成功,4,
2026-08-14T06:03:07,2026-08-14,速報①,成功,2,
2026-08-14T07:20:51,2026-08-14,速報②,成功,3,
2026-08-14T07:21:18,2026-08-14,速報②,成功,94,リトライ1回で成功
2026-08-14T08:03:09,2026-08-14,最終確定,成功,5,
2026-08-17T06:27:54,2026-08-17,速報①,成功,4,
2026-08-17T07:00:13,2026-08-17,速報②,成功,4,
