建玉バー,決済バー,売買,建値,決済値,数量,価格損益円,スワップ円,スワップ日数,損益円,決済理由
2026-08-10 09:00,2026-08-10 15:00,売,157.9,158.339,4000,-1788,0.0,0.0,-1788,signal
2026-08-10 17:00,2026-08-12 19:00,買,158.48,158.813,4000,1300,99.0,2.0,1399,stop
2026-08-13 03:00,2026-08-14 15:00,買,159.495,159.259,5000,-1220,248,4,-972,signal
2026-08-14 23:00,2026-08-14 23:00,売,158.941,158.941,6000,-48,-0,0,-48,signal
2026-08-18 03:00,2026-08-19 17:00,買,159.491,159.162,6000,-2022,149,2,-1873,stop
2026-08-19 17:00,2026-08-20 01:00,売,159.163,158.086,7000,7483,-0,0,7483,tp
2026-08-20 01:00,2026-08-20 15:00,売,158.453,158.629,5000,-920,-229,3,-1149,signal
2026-08-21 05:00,2026-08-21 15:00,買,159.112,158.830,4000,-1160,49,1,-1111,signal
2026-08-24 17:00,2026-08-26 11:00,買,159.158,159.044,5000,-610,124,2,-486,signal
2026-08-27 23:00,2026-08-31 23:00,買,159.361,159.824,8000,3640,100,1,3741,signal
2026-09-01 19:00,2026-09-02 19:00,買,160.049,159.684,7000,-2611,89,1,-2522,stop
2026-09-02 23:00,2026-09-03 19:00,売,158.566,156.684,4000,7496,-188,3,7308,tp
