建玉バー,決済バー,売買,建値,決済値,数量,価格損益円,スワップ円,スワップ日数,損益円,決済理由
2026-08-13 09:00,2026-08-13 22:00,買,159.334,159.169,6000,-1038,0,0,-1038,signal
2026-08-14 22:00,2026-08-15 03:00,売,158.918,159.394,6000,-2904,-0,0,-2904,stop
2026-08-15 03:00,2026-08-18 03:00,売,159.358,159.469,5000,-595,-0,0,-595,stop
2026-08-18 03:00,2026-08-19 12:00,買,159.491,159.364,7000,-945,173,2,-772,signal
2026-08-19 12:00,2026-08-19 22:00,売,159.364,158.636,8000,5760,-0,0,5760,tp
2026-08-19 22:00,2026-08-20 23:00,売,158.600,158.835,5000,-1215,-229,3,-1444,stop
2026-08-20 23:00,2026-08-21 15:00,買,158.825,158.830,4000,-12,49,1,37,signal
2026-08-24 17:00,2026-08-26 12:00,買,159.158,158.989,6000,-1062,148,2,-914,stop
2026-08-26 12:00,2026-08-26 23:00,売,159.032,159.395,7000,-2597,-0,0,-2597,signal
2026-08-26 23:00,2026-09-01 00:00,買,159.395,159.634,6000,1386,301,4,1687,stop
2026-09-01 19:00,2026-09-02 20:00,買,160.049,159.888,8000,-1352,102,1,-1250,signal
2026-09-02 20:00,2026-09-03 00:00,売,159.888,158.930,6000,5700,-0,0,5700,tp
